id,user_id,class,name,tag_based,date
111,22,3,Critic,False,2010-07-19 19:59:07.170
113,22,3,Teacher,False,2010-07-19 20:04:06.817
143,22,3,Supporter,False,2010-07-19 20:34:06.900
389,115,3,Supporter,False,2010-07-20 18:12:22.730
413,192,3,Editor,False,2010-07-21 00:37:32.570
435,211,3,Autobiographer,False,2010-07-21 07:58:12.557
436,211,3,Supporter,False,2010-07-21 08:03:12.543
438,192,3,Teacher,False,2010-07-21 08:13:12.473
440,211,3,Teacher,False,2010-07-21 08:48:12.267
449,115,3,Teacher,False,2010-07-21 11:13:12.353
568,22,3,Student,False,2010-07-25 20:23:37.090
684,22,2,Beta,False,2010-07-27 09:13:44.700
725,192,2,Beta,False,2010-07-27 09:13:47.463
729,211,2,Beta,False,2010-07-27 09:13:47.570
938,22,3,Editor,False,2010-07-30 03:49:24.420
948,22,3,Autobiographer,False,2010-07-30 19:24:32.767
1008,211,3,Commentator,False,2010-08-02 20:30:11.367
1019,211,3,Student,False,2010-08-03 04:45:13.027
1110,211,3,Scholar,False,2010-08-05 01:45:54.253
1159,211,3,Editor,False,2010-08-06 11:06:45.187
1559,22,3,Scholar,False,2010-08-24 22:55:59.053
1808,211,3,Critic,False,2010-09-08 14:17:31.993
1809,211,3,Citizen Patrol,False,2010-09-08 14:17:32.043
1828,211,2,Enthusiast,False,2010-09-09 07:18:04.387
1833,22,3,Commentator,False,2010-09-09 16:08:23.317
1972,947,3,Teacher,False,2010-09-16 23:58:35.770
1983,192,3,Student,False,2010-09-17 16:14:06.540
2014,947,3,Supporter,False,2010-09-19 00:34:59.823
2027,947,3,Editor,False,2010-09-20 03:59:15.810
2043,211,2,Civic Duty,False,2010-09-20 21:29:59.453
2045,947,3,Student,False,2010-09-20 22:59:59.343
2059,947,3,Autobiographer,False,2010-09-21 22:35:43.863
2067,192,3,Scholar,False,2010-09-22 14:52:05.713
2104,947,3,Commentator,False,2010-09-25 16:10:55.853
2112,947,3,Scholar,False,2010-09-26 04:26:50.937
2137,947,3,Critic,False,2010-09-28 03:59:29.410
2206,947,3,Cleanup,False,2010-10-01 19:20:24.043
2521,211,3,Nice Question,False,2010-10-21 13:15:07.183
2583,211,3,Nice Question,False,2010-10-25 13:40:17.543
2686,947,3,Nice Question,False,2010-11-01 06:10:44.940
2698,211,3,Nice Answer,False,2010-11-01 15:50:47.553
2699,211,2,Enlightened,False,2010-11-01 15:55:47.667
2782,211,2,Necromancer,False,2010-11-04 21:27:33.413
2866,192,3,Supporter,False,2010-11-07 16:47:53.543
2867,192,3,Critic,False,2010-11-07 16:47:53.573
2916,211,3,Nice Question,False,2010-11-09 22:38:46.653
2923,192,3,Nice Question,False,2010-11-10 09:23:46.957
3022,211,3,Nice Answer,False,2010-11-15 20:39:32.140
3216,22,3,Nice Answer,False,2010-11-27 10:11:12.993
3217,211,2,Necromancer,False,2010-11-27 10:26:13.133
3342,211,3,Nice Question,False,2010-12-03 18:26:48.113
3487,22,3,Precognitive,False,2010-12-09 01:22:23.873
3573,192,3,Quorum,False,2010-12-11 00:22:29.823
3601,22,3,Quorum,False,2010-12-11 00:22:30.777
3602,211,3,Quorum,False,2010-12-11 00:22:30.807
3607,211,3,Self-Learner,False,2010-12-11 03:27:40.077
3610,211,3,Nice Question,False,2010-12-11 12:52:40.150
3679,211,3,Nice Answer,False,2010-12-14 19:42:59.053
3837,211,3,Nice Answer,False,2010-12-28 19:42:38.353
3881,1664,3,Student,False,2010-12-31 16:17:44.097
3914,211,3,Nice Question,False,2011-01-03 15:25:19.093
3915,1664,3,Teacher,False,2011-01-03 16:55:19.280
4099,947,3,Nice Question,False,2011-01-13 12:16:07.553
4995,211,3,Nice Answer,False,2011-02-23 21:14:00.360
4997,211,2,Enlightened,False,2011-02-23 22:29:01.453
5259,2269,3,Autobiographer,False,2011-03-07 15:12:13.693
5446,211,3,Nice Question,False,2011-03-14 08:11:08.250
5799,211,3,Popular Question,False,2011-03-31 19:24:23.473
5931,115,3,Student,False,2011-04-07 03:20:41.997
5936,2269,3,Student,False,2011-04-07 11:55:42.057
5971,2269,3,Supporter,False,2011-04-08 17:05:45.270
5972,2269,3,Scholar,False,2011-04-08 17:05:45.300
6022,211,2,Taxonomist,False,2011-04-11 13:05:48.607
6030,115,3,Commentator,False,2011-04-11 16:05:49.600
6053,2584,3,Student,False,2011-04-12 07:05:52.527
6070,2584,3,Scholar,False,2011-04-12 22:50:55.270
6626,2872,3,Student,False,2011-05-07 12:42:28.683
6639,2872,3,Nice Question,False,2011-05-07 22:57:31.953
6666,22,2,Taxonomist,False,2011-05-08 19:32:37.707
6783,211,3,Popular Question,False,2011-05-12 19:56:03.493
6809,2958,3,Editor,False,2011-05-13 18:21:18.330
7071,115,3,Nice Question,False,2011-05-24 21:56:38.693
7314,211,3,Nice Question,False,2011-06-05 21:17:35.667
7341,115,3,Organizer,False,2011-06-07 06:13:44.130
7500,211,3,Disciplined,False,2011-06-14 13:56:52.507
7985,211,3,Nice Question,False,2011-07-07 02:49:32.033
8326,22,2,Yearling,False,2011-07-20 00:02:13.703
8312,115,2,Yearling,False,2011-07-20 00:02:13.703
8368,192,2,Yearling,False,2011-07-21 00:03:32.127
8408,211,2,Yearling,False,2011-07-22 00:19:47.690
8474,2958,3,Teacher,False,2011-07-25 01:15:40.547
8565,2958,3,Supporter,False,2011-07-27 19:37:56.430
8715,2958,3,Commentator,False,2011-08-02 12:37:34.237
9037,211,3,Nice Question,False,2011-08-12 20:22:47.373
9255,2269,3,Nice Question,False,2011-08-19 23:07:35.320
9685,22,3,Organizer,False,2011-09-05 13:28:31.460
9757,22,3,Self-Learner,False,2011-09-08 15:27:23.070
9826,22,3,Promoter,False,2011-09-11 13:33:04.953
9965,947,2,Yearling,False,2011-09-17 00:18:01.807
9988,22,3,Benefactor,False,2011-09-18 18:30:59.267
10080,22,2,Good Answer,False,2011-09-22 05:02:14.910
10082,211,2,Good Answer,False,2011-09-22 05:02:14.927
10180,211,3,Popular Question,False,2011-09-25 08:17:24.600
10921,211,3,Popular Question,False,2011-10-19 19:56:50.993
10982,211,3,Popular Question,False,2011-10-21 13:51:30.877
11443,5179,3,Teacher,False,2011-11-05 10:30:02.510
11468,5179,3,Editor,False,2011-11-06 17:51:04.217
11476,5179,3,Supporter,False,2011-11-07 06:36:35.957
11501,5179,3,Critic,False,2011-11-07 21:43:30.623
11557,5179,3,Commentator,False,2011-11-09 16:40:49.213
11559,5179,3,Analytical,False,2011-11-09 16:55:49.977
11560,5179,3,Autobiographer,False,2011-11-09 17:00:50.030
11927,2584,3,Editor,False,2011-11-21 16:15:18.393
11946,2584,3,Supporter,False,2011-11-22 06:35:48.883
11991,211,3,Popular Question,False,2011-11-23 00:36:44.363
12061,2584,3,Tumbleweed,False,2011-11-25 06:16:21.887
12427,5179,3,Organizer,False,2011-12-07 06:52:22.523
12429,211,3,Popular Question,False,2011-12-07 10:42:29.033
12588,211,3,Nice Question,False,2011-12-12 20:38:22.607
13014,211,3,Popular Question,False,2011-12-28 11:29:24.130
13097,1664,2,Yearling,False,2011-12-31 15:22:42.573
13231,2958,3,Student,False,2012-01-05 08:58:19.830
13287,22,3,Popular Question,False,2012-01-06 21:41:49.660
13404,5179,3,Student,False,2012-01-10 12:56:39.827
13435,5179,3,Announcer,False,2012-01-10 13:56:39.367
13439,5179,3,Announcer,False,2012-01-10 13:56:39.367
13448,5179,3,Scholar,False,2012-01-10 15:46:40.600
13775,192,3,Nice Answer,False,2012-01-20 22:26:31.523
13792,211,3,Nice Question,False,2012-01-21 07:18:39.260
13805,5179,3,Nice Answer,False,2012-01-21 16:24:11.110
13806,5179,2,Enlightened,False,2012-01-21 16:59:11.607
13813,2584,3,Commentator,False,2012-01-21 20:19:12.567
13814,22,3,Nice Answer,False,2012-01-21 20:59:13.327
13929,211,2,Necromancer,False,2012-01-25 04:43:16.217
14008,211,3,Popular Question,False,2012-01-27 13:36:27.277
14112,5179,2,Enthusiast,False,2012-01-31 07:17:18.437
14137,5179,3,Disciplined,False,2012-01-31 20:07:33.733
14238,5179,3,Tag Editor,False,2012-02-02 18:08:56.137
14372,211,3,Nice Question,False,2012-02-06 20:04:40.210
14393,192,3,Nice Question,False,2012-02-07 10:15:43.587
14479,211,2,Necromancer,False,2012-02-09 12:05:02.227
14647,5179,3,Citizen Patrol,False,2012-02-14 06:43:31.780
14749,211,2,Notable Question,False,2012-02-15 23:56:53.583
14912,5179,3,Announcer,False,2012-02-20 09:12:59.240
14967,5179,2,Civic Duty,False,2012-02-21 05:48:31.950
15016,5179,3,Announcer,False,2012-02-22 07:01:49.683
15145,5179,3,Announcer,False,2012-02-23 23:59:25.507
15309,192,3,Commentator,False,2012-02-29 00:16:20.177
15448,211,3,Popular Question,False,2012-03-03 00:34:29.940
15475,211,2,Notable Question,False,2012-03-04 08:32:10.447
15795,6107,3,Editor,False,2012-03-12 19:14:32.717
15810,6107,3,Student,False,2012-03-13 01:54:47.147
15815,6107,3,Teacher,False,2012-03-13 09:20:27.553
16080,7483,3,Autobiographer,False,2012-03-19 19:51:07.457
16081,7483,3,Critic,False,2012-03-19 19:51:07.740
16082,7483,3,Teacher,False,2012-03-19 19:51:08.847
16106,947,3,Popular Question,False,2012-03-20 04:21:23.753
16373,211,3,Popular Question,False,2012-03-26 16:24:23.267
16468,2958,3,Citizen Patrol,False,2012-03-29 08:00:42.850
16539,5179,3,Announcer,False,2012-03-30 16:31:12.220
16624,5179,3,Promoter,False,2012-04-01 20:07:10.937
16709,5179,3,Self-Learner,False,2012-04-03 22:32:22.830
16781,211,2,Good Question,False,2012-04-05 00:37:25.393
16825,5179,3,Benefactor,False,2012-04-06 05:22:29.527
16937,211,3,Popular Question,False,2012-04-10 01:12:47.490
17131,6708,3,Student,False,2012-04-14 20:06:38.190
17159,211,2,Good Answer,False,2012-04-15 15:16:48.823
17234,211,2,Notable Question,False,2012-04-17 10:12:21.357
17350,211,2,Notable Question,False,2012-04-19 12:53:48.277
17361,211,2,Notable Question,False,2012-04-19 17:23:54.327
17614,6107,3,Supporter,False,2012-04-25 21:21:46.833
17676,7483,3,Supporter,False,2012-04-27 07:07:11.203
17773,5179,3,Announcer,False,2012-04-30 00:48:13.670
17785,947,3,Popular Question,False,2012-04-30 11:43:22.523
17845,211,3,Nice Question,False,2012-05-01 14:23:46.980
17870,211,3,Popular Question,False,2012-05-01 22:34:21.567
17990,2958,3,Nice Answer,False,2012-05-03 21:30:04.970
17991,2958,2,Enlightened,False,2012-05-03 22:20:05.997
18031,6708,3,Editor,False,2012-05-04 16:45:27.780
18186,5179,3,Revival,False,2012-05-08 14:07:43.573
18260,2958,3,Quorum,False,2012-05-09 19:16:48.527
18375,211,2,Necromancer,False,2012-05-12 13:26:40.530
18388,6708,3,Scholar,False,2012-05-12 21:17:03.803
18406,2958,2,Yearling,False,2012-05-13 10:17:10.890
18818,947,3,Popular Question,False,2012-05-24 07:53:17.680
18979,115,3,Announcer,False,2012-05-28 22:15:29.807
19039,192,3,Popular Question,False,2012-05-29 20:20:32.347
19488,22,3,Caucus,False,2012-06-08 23:00:52.273
19504,211,3,Caucus,False,2012-06-08 23:00:52.427
19584,211,2,Constituent,False,2012-06-08 23:00:52.913
19658,9081,3,Teacher,False,2012-06-10 15:11:31.700
19837,211,2,Good Answer,False,2012-06-14 12:13:02.710
19974,5179,3,Excavator,False,2012-06-17 15:48:07.100
20107,2958,3,Nice Answer,False,2012-06-20 14:18:41.887
20574,9483,3,Autobiographer,False,2012-07-02 22:21:21.717
20681,5179,3,Nice Answer,False,2012-07-04 13:31:45.657
20824,22,3,Nice Question,False,2012-07-07 23:23:13.807
20936,211,3,Nice Question,False,2012-07-10 19:08:40.017
21177,22,3,Popular Question,False,2012-07-16 16:56:49.740
21351,22,2,Yearling,False,2012-07-19 19:38:59.547
