constructorId,constructorRef,name,nationality
0,mclaren,McLaren,British
1,bmw_sauber,BMW Sauber,German
2,williams,Williams,British
3,renault,Renault,French
4,toro_rosso,Toro Rosso,Italian
5,ferrari,Ferrari,Italian
6,toyota,Toyota,Japanese
7,super_aguri,Super Aguri,Japanese
8,red_bull,Red Bull,Austrian
9,force_india,Force India,Indian
10,honda,Honda,Japanese
11,spyker,Spyker,Dutch
12,mf1,MF1,Russian
13,spyker_mf1,Spyker MF1,Dutch
14,sauber,Sauber,Swiss
15,bar,BAR,British
16,jordan,Jordan,Irish
17,minardi,Minardi,Italian
18,jaguar,Jaguar,British
19,prost,Prost,French
20,arrows,Arrows,British
21,benetton,Benetton,Italian
22,brawn,Brawn,British
23,stewart,Stewart,British
24,tyrrell,Tyrrell,British
25,lola,Lola,British
26,ligier,Ligier,French
27,forti,Forti,Italian
28,footwork,Footwork,British
29,pacific,Pacific,British
30,simtek,Simtek,British
31,team_lotus,Team Lotus,British
32,larrousse,Larrousse,French
33,brabham,Brabham,British
34,dallara,Dallara,Italian
35,fondmetal,Fondmetal,Italian
36,march,March,British
37,moda,Andrea Moda,Italian
38,ags,AGS,French
39,lambo,Lambo,Italian
40,leyton,Leyton House,British
41,coloni,Coloni,Italian
42,eurobrun,Euro Brun,Italian
43,osella,Osella,Italian
44,onyx,Onyx,British
45,life,Life,Italian
46,rial,Rial,German
47,zakspeed,Zakspeed,German
48,ram,RAM,British
49,alfa,Alfa Romeo,Swiss
50,spirit,Spirit,British
51,toleman,Toleman,British
52,ats,ATS,Italian
53,theodore,Theodore,Hong Kong
54,fittipaldi,Fittipaldi,Brazilian
55,ensign,Ensign,British
56,shadow,Shadow,British
57,wolf,Wolf,Canadian
58,merzario,Merzario,Italian
59,kauhsen,Kauhsen,German
60,rebaque,Rebaque,Mexican
61,surtees,Surtees,British
62,hesketh,Hesketh,British
63,martini,Martini,French
64,brm,BRM,British
65,penske,Penske,American
66,lec,LEC,British
67,mcguire,McGuire,Australian
68,boro,Boro,Dutch
69,apollon,Apollon,Swiss
70,kojima,Kojima,Japanese
71,parnelli,Parnelli,American
72,maki,Maki,Japanese
73,hill,Embassy Hill,British
74,lyncar,Lyncar,British
75,trojan,Trojan,British
76,amon,Amon,New Zealander
77,token,Token,British
78,iso_marlboro,Iso Marlboro,British
79,tecno,Tecno,Italian
80,matra,Matra,French
81,politoys,Politoys,British
82,connew,Connew,British
83,bellasi,Bellasi,Swiss
84,tomaso,De Tomaso,Italian
85,cooper,Cooper,British
86,eagle,Eagle,American
87,lds,LDS,South African
88,protos,Protos,British
89,shannon,Shannon,British
90,scirocco,Scirocco,British
91,re,RE,Rhodesian
92,brp,BRP,British
93,porsche,Porsche,German
94,derrington,Derrington,British
95,gilby,Gilby,British
96,stebro,Stebro,Canadian
97,emeryson,Emeryson,British
98,enb,ENB,Belgian
99,jbw,JBW,British
100,ferguson,Ferguson,British
101,mbm,MBM,Swiss
102,behra-porsche,Behra-Porsche,Italian
103,maserati,Maserati,Italian
104,scarab,Scarab,American
105,watson,Watson,American
106,epperly,Epperly,American
107,phillips,Phillips,American
108,lesovsky,Lesovsky,American
109,trevis,Trevis,American
110,meskowski,Meskowski,American
111,kurtis_kraft,Kurtis Kraft,American
112,kuzma,Kuzma,American
113,vhristensen,Christensen,American
114,ewing,Ewing,American
115,aston_martin,Aston Martin,British
116,vanwall,Vanwall,British
117,moore,Moore,American
118,dunn,Dunn,American
119,elder,Elder,American
120,sutton,Sutton,American
121,fry,Fry,British
122,tec-mec,Tec-Mec,Italian
123,connaught,Connaught,British
124,alta,Alta,British
125,osca,OSCA,Italian
126,gordini,Gordini,French
127,stevens,Stevens,American
128,bugatti,Bugatti,French
129,mercedes,Mercedes,German
130,lancia,Lancia,Italian
131,hwm,HWM,British
132,schroeder,Schroeder,American
133,pawl,Pawl,American
134,pankratz,Pankratz,American
135,arzani-volpini,Arzani-Volpini,Italian
136,nichels,Nichels,American
137,bromme,Bromme,American
138,klenk,Klenk,German
139,simca,Simca,French
140,turner,Turner,American
141,del_roy,Del Roy,American
142,veritas,Veritas,German
143,bmw,BMW,German
144,emw,EMW,East German
145,afm,AFM,German
146,frazer_nash,Frazer Nash,British
147,sherman,Sherman,American
148,deidt,Deidt,American
149,era,ERA,British
150,butterworth,Aston Butterworth,British
151,cisitalia,Cisitalia,Italian
152,lago,Talbot-Lago,French
153,hall,Hall,American
154,marchese,Marchese,American
155,langley,Langley,American
156,rae,Rae,American
157,olson,Olson,American
158,wetteroth,Wetteroth,American
159,adams,Adams,American
160,snowberger,Snowberger,American
161,milano,Milano,Italian
162,hrt,HRT,Spanish
163,cooper-maserati,Cooper-Maserati,British
164,virgin,Virgin,British
165,cooper-osca,Cooper-OSCA,British
166,cooper-borgward,Cooper-Borgward,British
167,cooper-climax,Cooper-Climax,British
168,cooper-castellotti,Cooper-Castellotti,British
169,lotus-climax,Lotus-Climax,British
170,lotus-maserati,Lotus-Maserati,British
171,de_tomaso-osca,De Tomaso-Osca,Italian
172,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
173,lotus-brm,Lotus-BRM,British
174,lotus-borgward,Lotus-Borgward,British
175,cooper-alfa_romeo,Cooper-Alfa Romeo,British
176,de_tomaso-ferrari,De Tomaso-Ferrari,Italian
177,lotus-ford,Lotus-Ford,British
178,brabham-brm,Brabham-BRM,British
179,brabham-ford,Brabham-Ford,British
180,brabham-climax,Brabham-Climax,British
181,lds-climax,LDS-Climax,South African
182,lds-alfa_romeo,LDS-Alfa Romeo,South African
183,cooper-ford,Cooper-Ford,British
184,mclaren-ford,McLaren-Ford,British
185,mclaren-seren,McLaren-Serenissima,British
186,eagle-climax,Eagle-Climax,American
187,eagle-weslake,Eagle-Weslake,American
188,brabham-repco,Brabham-Repco,British
189,cooper-ferrari,Cooper-Ferrari,British
190,cooper-ats,Cooper-ATS,British
191,mclaren-brm,McLaren-BRM,British
192,cooper-brm,Cooper-BRM,British
193,matra-ford,Matra-Ford,French
194,brm-ford,BRM-Ford,British
195,mclaren-alfa_romeo,McLaren-Alfa Romeo,British
196,march-alfa_romeo,March-Alfa Romeo,British
197,march-ford,March-Ford,British
198,lotus-pw,Lotus-Pratt &amp; Whitney,British
199,shadow-ford,Shadow-Ford,British
200,shadow-matra,Shadow-Matra,British
201,brabham-alfa_romeo,Brabham-Alfa Romeo,British
202,lotus_racing,Lotus,Malaysian
203,marussia,Marussia,Russian
204,caterham,Caterham,Malaysian
205,lotus_f1,Lotus F1,British
206,manor,Manor Marussia,British
207,haas,Haas F1 Team,American
208,racing_point,Racing Point,British
209,alphatauri,AlphaTauri,Italian
210,alpine,Alpine F1 Team,French
